"regulatoryGene","targetGene","weight"
"Solyc03g113930.3.1","Solyc03g082420.3.1",0.0123188696061824
"Solyc03g082920.4.1","Solyc11g071830.2.1",0.0119457485627952
"Solyc09g015020.1.1","Solyc11g071830.2.1",0.0116961099207289
"Solyc03g113930.3.1","Solyc01g102960.3.1",0.0108966976411765
"Solyc11g020330.1.1","Solyc03g082420.3.1",0.0107912383162464
"Solyc08g016670.3.1","Solyc03g082420.3.1",0.0106025515233917
"Solyc02g088610.4.1","Solyc11g020040.2.1",0.0103713625982262
"Solyc01g102960.3.1","Solyc04g014480.3.1",0.0102216764623807
"Solyc05g053470.3.1","Solyc03g113930.3.1",0.00989180783627462
"Solyc11g020330.1.1","Solyc01g102960.3.1",0.00981450570523193
"Solyc09g015000.4.1","Solyc06g076560.2.1",0.00969565689133008
"Solyc06g076560.2.1","Solyc09g015000.4.1",0.00967073836772367
"Solyc06g076520.1.1","Solyc04g014480.3.1",0.00959725418285266
"Solyc08g081455.1.1","Solyc06g076520.1.1",0.00929495386310769
"Solyc06g083190.4.1","Solyc11g066100.2.1",0.00922756975121974
"Solyc04g014480.3.1","Solyc06g076520.1.1",0.00913620429650411
"Solyc11g071830.2.1","Solyc06g036290.3.1",0.00912065711580033
"Solyc03g118060.3.1","Solyc04g014480.3.1",0.00911269182748983
"Solyc03g115230.3.1","Solyc08g078700.3.1",0.00903902022902948
"Solyc08g016670.3.1","Solyc05g014280.4.1",0.00900171774221973
"Solyc01g091270.3.1","Solyc06g076520.1.1",0.00892089470804961
"Solyc06g011370.4.1","Solyc01g102960.3.1",0.00880314784878815
"Solyc11g066100.2.1","Solyc11g071830.2.1",0.00873250277186343
"Solyc03g007890.3.1","Solyc08g078700.3.1",0.00866163494196964
"Solyc08g081455.1.1","Solyc04g014480.3.1",0.00863843560790044
"Solyc09g061310.3.1","Solyc01g104740.3.1",0.00861881132232086
"Solyc10g084170.1.1","Solyc11g071830.2.1",0.00861150107334725
"Solyc06g076570.4.1","Solyc03g082420.3.1",0.00861085118843224
"Solyc11g066100.2.1","Solyc09g008970.1.1",0.00860531379507936
"Solyc01g102960.3.1","Solyc09g015000.4.1",0.00859690018643376
"Solyc06g011370.4.1","Solyc04g014480.3.1",0.0085690368924564
"Solyc09g061310.3.1","Solyc06g076670.3.1",0.00853694368803812
"Solyc11g020040.2.1","Solyc04g014480.3.1",0.00852401371965795
"Solyc06g071420.3.1","Solyc02g062130.5.1",0.00852313408154493
"Solyc03g113930.3.1","Solyc06g076560.2.1",0.00852293010709786
"Solyc03g113930.3.1","Solyc04g014480.3.1",0.00849284984625231
"Solyc06g083190.4.1","Solyc11g020040.2.1",0.00848632004048726
"Solyc02g082100.4.1","Solyc01g104740.3.1",0.00848562255945882
"Solyc10g084170.1.1","Solyc05g055010.4.1",0.00845863402520324
"Solyc06g076520.1.1","Solyc06g076560.2.1",0.00845092446456172
"Solyc06g076560.2.1","Solyc04g014480.3.1",0.00844580996851852
"Solyc11g068730.2.1","Solyc06g076520.1.1",0.00841743923894723
"Solyc06g076560.2.1","Solyc06g076520.1.1",0.00839466679748619
"Solyc06g076570.4.1","Solyc06g076520.1.1",0.00834418274314041
"Solyc02g077670.3.1","Solyc09g008970.1.1",0.00826659863013191
"Solyc10g074970.1.1","Solyc09g007270.3.1",0.00826269051446604
"Solyc01g104740.3.1","Solyc04g011440.4.1",0.00814896496917254
"Solyc04g014480.3.1","Solyc06g076560.2.1",0.00813771423688066
"Solyc10g084170.1.1","Solyc08g078700.3.1",0.00813456291579995
"Solyc02g030450.3.1","Solyc03g113930.3.1",0.00812455919572409
"Solyc11g066100.2.1","Solyc06g036290.3.1",0.00808476284670682
"Solyc06g076520.1.1","Solyc09g015000.4.1",0.00804815350017516
"Solyc07g042930.3.1","Solyc11g066100.2.1",0.00800218200204079
"Solyc09g092690.3.1","Solyc05g055010.4.1",0.00797054416050232
"Solyc03g117955.1.1","Solyc10g084400.2.1",0.00790766587262172
"Solyc09g092690.3.1","Solyc09g008970.1.1",0.00789895625949763
"Solyc03g007890.3.1","Solyc05g055010.4.1",0.0078919496855188
"Solyc02g083860.3.1","Solyc09g091510.3.1",0.0078896789027632
"Solyc01g091270.3.1","Solyc06g076560.2.1",0.00782958553937084
"Solyc05g046310.3.1","Solyc09g008970.1.1",0.0078192819839826
"Solyc11g071830.2.1","Solyc11g066100.2.1",0.00779482788784505
"Solyc12g089210.2.1","Solyc10g084400.2.1",0.00779206811375091
"Solyc08g062340.3.1","Solyc08g078700.3.1",0.00778628790535962
"Solyc01g102960.3.1","Solyc03g113930.3.1",0.00776421103678879
"Solyc03g120090.1.1","Solyc09g008970.1.1",0.00773019006065789
"Solyc06g011400.2.1","Solyc06g011370.4.1",0.00772665655764514
"Solyc11g006750.1.1","Solyc09g007270.3.1",0.00771714030585879
"Solyc06g036290.3.1","Solyc11g071830.2.1",0.00771556285097106
"Solyc01g102960.3.1","Solyc08g062340.3.1",0.00770225984546466
"Solyc07g039510.4.1","Solyc03g097960.1.1",0.00767406216697742
"Solyc11g069790.2.1","Solyc06g076520.1.1",0.00764388042763674
"Solyc03g082420.3.1","Solyc05g014280.4.1",0.00763185032440638
"Solyc05g055010.4.1","Solyc11g071830.2.1",0.0076204731379615
"Solyc08g016670.3.1","Solyc04g014480.3.1",0.00758865830935012
"Solyc09g015020.1.1","Solyc09g015000.4.1",0.00757939729225985
"Solyc06g076560.2.1","Solyc03g113930.3.1",0.00755219593258354
"Solyc10g084760.3.1","Solyc02g030450.3.1",0.00750013477551786
"Solyc02g077670.3.1","Solyc08g078700.3.1",0.00749552283914171
"Solyc02g093600.3.1","Solyc08g062340.3.1",0.00747516633155572
"Solyc02g088610.4.1","Solyc03g082420.3.1",0.00746283603484704
"Solyc12g056780.2.1","Solyc01g102960.3.1",0.00746161514855068
"Solyc11g066100.2.1","Solyc05g055010.4.1",0.00745373595896567
"Solyc01g091270.3.1","Solyc11g020040.2.1",0.00745133387711028
"Solyc08g006155.2.1","Solyc08g078700.3.1",0.00743319719206363
"Solyc06g036290.3.1","Solyc11g066100.2.1",0.00742947685593428
"Solyc08g016670.3.1","Solyc03g113930.3.1",0.00740813138110324
"Solyc06g060300.1.1","Solyc01g102960.3.1",0.00739173680559788
"Solyc06g011400.2.1","Solyc01g102960.3.1",0.00738810930642141
"Solyc08g079170.3.1","Solyc08g062340.3.1",0.0073812915448618
"Solyc01g095330.2.1","Solyc01g095320.4.1",0.00735944141904675
"Solyc03g082420.3.1","Solyc04g014480.3.1",0.0073551031191854
"Solyc09g082440.1.1","Solyc02g062130.5.1",0.00735453182466959
"Solyc01g008020.5.1","Solyc09g007270.3.1",0.00734053269641748
"Solyc06g076520.1.1","Solyc05g014280.4.1",0.00729232398507319
"Solyc03g082420.3.1","Solyc03g113930.3.1",0.00729146919048414
"Solyc10g078930.2.1","Solyc11g020040.2.1",0.00727125267022707
"Solyc09g015000.4.1","Solyc11g071830.2.1",0.00726434530416134
"Solyc03g079890.3.1","Solyc08g067960.3.1",0.00725491984066386
"Solyc03g113060.3.1","Solyc08g063090.2.1",0.00725158693550281
"Solyc04g014480.3.1","Solyc03g082420.3.1",0.00718413578397426
